iteration,score,best_score,elapsed_sec,params_json
31,-0.6978392953106994,-0.7593554221866912,4008.7758,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.044614932217, ""learning_rate"": 0.000228100235, ""new_fc_1"": 0, ""new_fc_10"": 27, ""new_fc_2"": 15, ""new_fc_3"": 12, ""new_fc_4"": 2, ""new_fc_5"": 11, ""new_fc_6"": 18, ""new_fc_7"": 26, ""new_fc_8"": 27, ""new_fc_9"": 27, ""num_neurons"": 4, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 2}"
32,-0.3611653362336502,-0.7593554221866912,5236.8265,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.426976971828, ""learning_rate"": 0.000125705053, ""new_fc_1"": 7, ""new_fc_10"": 11, ""new_fc_2"": 16, ""new_fc_3"": 2, ""new_fc_4"": 4, ""new_fc_5"": 15, ""new_fc_6"": 7, ""new_fc_7"": 23, ""new_fc_8"": 5, ""new_fc_9"": 5, ""num_neurons"": 8, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 4, ""unit_c2"": 5}"
33,-0.4272566938470802,-0.7593554221866912,5563.9364,"{""activation"": ""elu"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.243952892759, ""learning_rate"": 0.000110160894, ""new_fc_1"": 32, ""new_fc_10"": 7, ""new_fc_2"": 21, ""new_fc_3"": 20, ""new_fc_4"": 8, ""new_fc_5"": 31, ""new_fc_6"": 27, ""new_fc_7"": 6, ""new_fc_8"": 18, ""new_fc_9"": 8, ""num_neurons"": 4, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 4}"
34,-0.501187214954399,-0.7593554221866912,6251.7721,"{""activation"": ""elu"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.05811548225, ""learning_rate"": 0.000636379588, ""new_fc_1"": 32, ""new_fc_10"": 17, ""new_fc_2"": 0, ""new_fc_3"": 4, ""new_fc_4"": 5, ""new_fc_5"": 28, ""new_fc_6"": 4, ""new_fc_7"": 14, ""new_fc_8"": 18, ""new_fc_9"": 2, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 4, ""unit_c2"": 7}"
35,-0.746521703220642,-0.7593554221866912,6698.9997,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.166483093678, ""learning_rate"": 0.000277211336, ""new_fc_1"": 12, ""new_fc_10"": 4, ""new_fc_2"": 13, ""new_fc_3"": 22, ""new_fc_4"": 0, ""new_fc_5"": 9, ""new_fc_6"": 28, ""new_fc_7"": 8, ""new_fc_8"": 21, ""new_fc_9"": 18, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 5}"
36,-0.3748072833770637,-0.7593554221866912,6906.2708,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.346649020292, ""learning_rate"": 0.000467447277, ""new_fc_1"": 11, ""new_fc_10"": 2, ""new_fc_2"": 15, ""new_fc_3"": 6, ""new_fc_4"": 12, ""new_fc_5"": 3, ""new_fc_6"": 16, ""new_fc_7"": 14, ""new_fc_8"": 16, ""new_fc_9"": 22, ""num_neurons"": 8, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 6}"
37,-0.46761763171045684,-0.7593554221866912,7594.2893,"{""activation"": ""elu"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.192806318517, ""learning_rate"": 0.000335110095, ""new_fc_1"": 25, ""new_fc_10"": 0, ""new_fc_2"": 1, ""new_fc_3"": 10, ""new_fc_4"": 2, ""new_fc_5"": 11, ""new_fc_6"": 9, ""new_fc_7"": 11, ""new_fc_8"": 32, ""new_fc_9"": 5, ""num_neurons"": 8, ""optimizer"": ""Adadelta"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 4}"
38,-0.5443202861866913,-0.7593554221866912,9122.6719,"{""activation"": ""swish"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.440527827205, ""learning_rate"": 0.000125577566, ""new_fc_1"": 24, ""new_fc_10"": 4, ""new_fc_2"": 2, ""new_fc_3"": 2, ""new_fc_4"": 24, ""new_fc_5"": 5, ""new_fc_6"": 20, ""new_fc_7"": 24, ""new_fc_8"": 17, ""new_fc_9"": 1, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 5}"
39,-0.5490863503202057,-0.7593554221866912,9749.9904,"{""activation"": ""elu"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.080551591811, ""learning_rate"": 0.00028753548, ""new_fc_1"": 20, ""new_fc_10"": 15, ""new_fc_2"": 3, ""new_fc_3"": 16, ""new_fc_4"": 12, ""new_fc_5"": 6, ""new_fc_6"": 19, ""new_fc_7"": 13, ""new_fc_8"": 20, ""new_fc_9"": 25, ""num_neurons"": 8, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 5}"
40,-0.34716863141587445,-0.7593554221866912,9957.3893,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.43254184325, ""learning_rate"": 0.000149801453, ""new_fc_1"": 28, ""new_fc_10"": 15, ""new_fc_2"": 3, ""new_fc_3"": 22, ""new_fc_4"": 16, ""new_fc_5"": 4, ""new_fc_6"": 1, ""new_fc_7"": 16, ""new_fc_8"": 21, ""new_fc_9"": 18, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 4, ""unit_c2"": 4}"
41,-0.7389117816417694,-0.7593554221866912,11546.3226,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.120099571058, ""learning_rate"": 0.000529981596, ""new_fc_1"": 2, ""new_fc_10"": 2, ""new_fc_2"": 2, ""new_fc_3"": 29, ""new_fc_4"": 25, ""new_fc_5"": 16, ""new_fc_6"": 3, ""new_fc_7"": 23, ""new_fc_8"": 30, ""new_fc_9"": 4, ""num_neurons"": 4, ""optimizer"": ""Adam"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 3, ""unit_c2"": 7}"
