event,accuracy_eval,objective,error,accuracy,flops_norm,flops,params,score,elapsed_sec,params_json
33,15,flops,,,0.012353653333333334,1853048.0,170894.0,,8952.1969,"{""activation"": ""swish"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.181615520153, ""learning_rate"": 0.000786155316, ""new_fc_1"": 31, ""new_fc_10"": 23, ""new_fc_2"": 19, ""new_fc_3"": 23, ""new_fc_4"": 29, ""new_fc_5"": 12, ""new_fc_6"": 11, ""new_fc_7"": 15, ""new_fc_8"": 30, ""new_fc_9"": 32, ""num_neurons"": 4, ""optimizer"": ""Adagrad"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 3}"
34,15,flops,,,0.7632057333333333,114480860.0,2866586.0,,8952.9642,"{""activation"": ""selu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.343903372242, ""learning_rate"": 0.000950675772, ""new_fc_1"": 22, ""new_fc_10"": 18, ""new_fc_2"": 22, ""new_fc_3"": 10, ""new_fc_4"": 25, ""new_fc_5"": 11, ""new_fc_6"": 15, ""new_fc_7"": 7, ""new_fc_8"": 16, ""new_fc_9"": 16, ""num_neurons"": 16, ""optimizer"": ""Adagrad"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 6}"
35,15,flops,,,0.047716346666666666,7157452.0,312362.0,,8953.7161,"{""activation"": ""selu"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.284786559993, ""learning_rate"": 0.000115017923, ""new_fc_1"": 2, ""new_fc_10"": 21, ""new_fc_2"": 20, ""new_fc_3"": 28, ""new_fc_4"": 32, ""new_fc_5"": 31, ""new_fc_6"": 32, ""new_fc_7"": 20, ""new_fc_8"": 10, ""new_fc_9"": 10, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 1}"
36,16,accuracy,0.5593000054359436,0.4406999945640564,0.047716346666666666,7157452.0,312362.0,-0.5941750921948394,10958.4572,"{""activation"": ""selu"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.284786559993, ""learning_rate"": 0.000115017923, ""new_fc_1"": 2, ""new_fc_10"": 21, ""new_fc_2"": 20, ""new_fc_3"": 28, ""new_fc_4"": 32, ""new_fc_5"": 31, ""new_fc_6"": 32, ""new_fc_7"": 20, ""new_fc_8"": 10, ""new_fc_9"": 10, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 1}"
37,16,flops,,,0.10484733333333333,15727100.0,1504090.0,,10959.2185,"{""activation"": ""relu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.36447920571, ""learning_rate"": 0.000241447767, ""new_fc_1"": 0, ""new_fc_10"": 28, ""new_fc_2"": 22, ""new_fc_3"": 7, ""new_fc_4"": 4, ""new_fc_5"": 17, ""new_fc_6"": 20, ""new_fc_7"": 25, ""new_fc_8"": 18, ""new_fc_9"": 31, ""num_neurons"": 16, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 2}"
38,16,flops,,,0.04351410666666667,6527116.0,261534.0,,10960.0351,"{""activation"": ""swish"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.306820341879, ""learning_rate"": 0.000355360207, ""new_fc_1"": 28, ""new_fc_10"": 22, ""new_fc_2"": 12, ""new_fc_3"": 14, ""new_fc_4"": 13, ""new_fc_5"": 5, ""new_fc_6"": 24, ""new_fc_7"": 9, ""new_fc_8"": 0, ""new_fc_9"": 5, ""num_neurons"": 4, ""optimizer"": ""SGD"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 8}"
39,16,flops,,,0.10205181333333334,15307772.0,644690.0,,10960.7376,"{""activation"": ""relu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.092724979109, ""learning_rate"": 0.000233508116, ""new_fc_1"": 19, ""new_fc_10"": 4, ""new_fc_2"": 23, ""new_fc_3"": 18, ""new_fc_4"": 23, ""new_fc_5"": 30, ""new_fc_6"": 1, ""new_fc_7"": 0, ""new_fc_8"": 16, ""new_fc_9"": 18, ""num_neurons"": 8, ""optimizer"": ""Adagrad"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 6}"
40,16,flops,,,0.15126429333333333,22689644.0,1453802.0,,10961.4976,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.075498085281, ""learning_rate"": 0.000565944401, ""new_fc_1"": 22, ""new_fc_10"": 28, ""new_fc_2"": 1, ""new_fc_3"": 19, ""new_fc_4"": 12, ""new_fc_5"": 1, ""new_fc_6"": 1, ""new_fc_7"": 14, ""new_fc_8"": 9, ""new_fc_9"": 24, ""num_neurons"": 16, ""optimizer"": ""Adam"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 3}"
41,16,flops,,,0.04584336,6876504.0,195042.0,,10962.2549,"{""activation"": ""selu"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.113912026306, ""learning_rate"": 0.000343589878, ""new_fc_1"": 20, ""new_fc_10"": 24, ""new_fc_2"": 27, ""new_fc_3"": 23, ""new_fc_4"": 1, ""new_fc_5"": 27, ""new_fc_6"": 12, ""new_fc_7"": 7, ""new_fc_8"": 4, ""new_fc_9"": 30, ""num_neurons"": 4, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 7}"
42,17,accuracy,0.8711999952793121,0.12880000472068787,0.05649784,8474676.0,465738.0,-0.37321065130448144,11586.5558,"{""activation"": ""relu"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.34388458431, ""learning_rate"": 0.000218547103, ""new_fc_1"": 17, ""new_fc_10"": 26, ""new_fc_2"": 8, ""new_fc_3"": 28, ""new_fc_4"": 16, ""new_fc_5"": 4, ""new_fc_6"": 26, ""new_fc_7"": 14, ""new_fc_8"": 24, ""new_fc_9"": 20, ""num_neurons"": 8, ""optimizer"": ""Adadelta"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 4}"
